id,neighborhood,monthly_rent,size_sqm,bedrooms,walk_to_supermarket,walk_to_pharmacy,commute_to_NOVA,estimated_grocery_cost,student_friendly
1,Almada,892,91,3,12,19,38,169,False
2,Campo de Ourique,786,56,3,14,20,20,152,True
3,Oeiras,1001,69,3,10,18,30,190,False
4,Campo de Ourique,876,36,3,3,7,15,162,True
5,Carcavelos,1036,60,3,8,17,35,205,False
6,Cais do Sodré,847,33,1,13,19,37,235,False
7,Almada,1012,58,1,9,11,29,173,False
8,Cais do Sodré,1039,29,3,7,13,39,176,False
9,Cais do Sodré,1079,48,1,13,7,15,159,False
10,Oeiras,908,68,1,8,12,44,182,False
11,Cais do Sodré,982,40,3,3,20,26,198,True
12,Almada,807,54,3,8,11,36,163,False
13,Carcavelos,728,67,2,4,15,29,189,True
14,Carcavelos,800,75,2,5,13,22,174,True
15,Cais do Sodré,1159,69,1,10,16,17,174,False
16,Cais do Sodré,990,72,2,3,9,16,131,True
17,Cais do Sodré,962,45,1,3,13,15,167,True
18,Oeiras,884,49,3,3,19,16,185,True
19,Almada,1092,41,3,4,5,27,182,False
20,Oeiras,836,57,3,14,5,27,185,True
21,Almada,862,59,3,14,16,30,161,True
22,Cais do Sodré,762,57,2,13,19,16,190,True
23,Carcavelos,894,37,2,3,7,45,214,False
24,Oeiras,1065,72,3,13,14,34,190,False
25,Oeiras,1043,50,2,10,13,42,182,False
26,Campo de Ourique,1046,49,2,11,18,20,201,False
27,Almada,1011,38,2,7,13,27,207,False
28,Carcavelos,811,55,1,6,6,40,164,False
29,Almada,922,61,1,12,6,27,173,True
30,Campo de Ourique,1008,17,1,7,5,23,195,False
31,Almada,861,64,1,11,11,20,176,True
32,Carcavelos,774,45,2,5,15,40,205,False
33,Carcavelos,996,72,3,14,11,32,179,True
34,Almada,843,62,2,9,17,20,166,True
35,Oeiras,960,70,3,13,18,32,161,True
36,Campo de Ourique,864,44,1,13,15,45,194,False
37,Oeiras,971,35,2,6,9,22,189,True
38,Cais do Sodré,733,65,2,11,14,42,183,False
39,Campo de Ourique,845,80,2,15,18,25,176,True
40,Cais do Sodré,1017,57,3,8,5,22,178,False
41,Campo de Ourique,937,40,1,5,7,32,205,True
42,Cais do Sodré,794,74,2,8,16,29,203,True
43,Cais do Sodré,929,53,1,10,10,32,183,True
44,Cais do Sodré,1002,50,3,10,13,23,210,False
45,Carcavelos,990,56,2,8,14,40,198,False
46,Oeiras,841,48,2,3,10,34,179,True
47,Carcavelos,839,43,2,9,13,19,196,True
48,Carcavelos,757,51,3,6,5,39,143,False
49,Campo de Ourique,1103,26,1,11,12,23,177,False
50,Almada,982,58,3,10,20,21,178,True
51,Cais do Sodré,1029,57,3,11,8,39,132,False
52,Oeiras,942,47,1,12,13,41,181,False
53,Campo de Ourique,906,65,1,3,7,37,176,False
54,Carcavelos,982,71,1,9,17,37,212,False
55,Cais do Sodré,773,49,1,14,9,18,186,True
56,Carcavelos,957,51,2,9,13,31,198,True
57,Cais do Sodré,992,56,2,3,10,36,169,False
58,Campo de Ourique,1022,43,1,9,17,26,149,False
59,Carcavelos,978,58,1,6,12,25,180,True
60,Campo de Ourique,1055,65,1,4,16,23,157,False
61,Carcavelos,856,57,3,6,8,18,198,True
62,Cais do Sodré,966,62,1,4,19,37,192,False
63,Campo de Ourique,974,60,3,3,8,24,155,True
64,Cais do Sodré,849,49,1,5,12,24,185,True
65,Almada,900,49,3,9,8,35,168,False
66,Oeiras,1050,42,1,13,10,32,190,False
67,Almada,863,49,1,10,11,19,171,True
68,Cais do Sodré,1010,44,3,11,10,38,172,False
69,Oeiras,985,24,2,8,12,41,171,False
70,Oeiras,949,46,2,15,14,45,227,False
71,Almada,681,52,3,13,16,21,231,True
72,Campo de Ourique,950,51,3,11,19,21,158,True
73,Almada,1149,26,3,9,11,45,189,False
74,Almada,1031,41,2,14,18,27,169,False
75,Campo de Ourique,737,69,2,10,7,42,169,False
76,Almada,977,73,1,10,20,16,146,True
77,Almada,1139,55,2,6,13,25,188,False
78,Almada,756,75,1,6,18,39,188,False
79,Almada,791,70,3,15,9,19,147,True
80,Almada,987,66,1,7,8,41,173,False
81,Oeiras,900,64,2,9,15,30,177,True
82,Carcavelos,840,65,2,10,10,21,165,True
83,Carcavelos,935,80,2,14,13,15,189,True
84,Carcavelos,1004,25,1,8,10,15,167,False
85,Cais do Sodré,725,59,3,10,8,38,149,False
86,Cais do Sodré,931,52,2,4,13,35,179,False
87,Campo de Ourique,944,70,2,12,9,24,213,True
88,Carcavelos,712,40,1,11,14,35,187,False
89,Oeiras,915,51,2,3,14,26,194,True
90,Oeiras,1003,56,2,3,18,34,127,False
91,Carcavelos,841,52,2,14,6,45,199,False
92,Oeiras,950,61,3,5,10,44,167,False
93,Campo de Ourique,1036,101,1,7,13,38,159,False
94,Carcavelos,762,45,1,15,17,38,198,False
95,Carcavelos,859,71,1,14,17,36,191,False
96,Almada,929,35,2,10,8,28,158,True
97,Carcavelos,830,48,3,4,9,19,176,True
98,Cais do Sodré,1029,73,1,4,6,19,192,False
99,Campo de Ourique,1016,63,1,6,17,45,197,False
100,Oeiras,1024,52,2,6,13,30,186,False
